,facility_id,program_type,facility_status,facility_name,city,zipcode,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,total_capacity,latitude,longitude,under-5_capacity
1645,734854,GFDC,License,Hugging Wings  Inc.,Sunnyside,11104,Queens 24,0,0,0,4,12,16,40.737019,-73.923871,0.0
1646,626319,GFDC,License,"Rivera, Joanna",New York,10029,Manhattan 4,0,0,0,4,12,16,40.793419,-73.949424,0.0
1647,829578,GFDC,License,"Salermo, Mayra",Syracuse,13208,Syracuse,0,0,0,2,12,14,43.074753,-76.161366,0.0
1648,392279,GFDC,License,"Castillo, Eloisa",Bronx,10458,Bronx 10,0,0,0,2,10,12,40.857424,-73.899559,0.0
1649,804143,DCC,License,"The Learning Garden, West",Williamsville,14221,Lancaster,24,30,46,20,0,120,42.955279,-78.69355,81.6
1650,275804,SACC,Registration,"United Activities Unlimited, Inc. @ P.S. 38",Staten Island,10306,Richmond 31,0,0,0,30,0,30,40.57468,-74.099432,0.0
1651,238729,DCC,License,Young Wonders Early Childhood Center,Binghamton,13901,Binghamton,8,12,27,14,0,61,42.097158,-75.909848,36.2
1652,734095,GFDC,License,Away Wee Go LLC,Kingston,12401,Kingston,0,0,0,4,12,16,41.885048,-74.01732,0.0
1653,40932,DCC,License,"East Aurora Community Nursery, Inc.",East Aurora,14052,East Aurora,32,48,36,28,0,144,42.772052,-78.611753,101.6
1654,869011,SACC,Registration,City of New York Parks & Recreation at Al Oerter,Flushing,11355,Queens 25,0,0,0,127,0,127,40.751533,-73.833887,0.0
1655,770230,FDC,Registration,Linda Floyd,Rochester,14609,Rochester,0,0,0,2,6,8,43.171766,-77.577419,0.0
1656,400651,GFDC,License,"Rodriguez, Yolaine",Bronx,10457,Bronx 9,0,0,0,4,12,16,40.840751,-73.911308,0.0
1657,776956,GFDC,License,Create & Learn Daycare Corp.,Freeport,11520,Freeport,0,0,0,4,12,16,40.638565,-73.580685,0.0
1658,683765,FDC,Registration,JUST GROUND LEARNING DAYCARE,Lindenhurst,11757,Lindenhurst,0,0,0,0,6,6,40.689151,-73.391245,0.0
1659,869053,GFDC,License,Gigi's Little Angel Daycare,Island Park,11558,Island Park,0,0,0,4,12,16,40.602442,-73.654997,0.0
1660,863732,FDC,Registration,"Busy Minds, Bright Horizons",Rochester,14615,Greece,0,0,0,2,6,8,43.208419,-77.645815,0.0
1661,662314,GFDC,License,"Baez I, Alondra",Bronx,10468,Bronx 10,0,0,0,4,12,16,40.863749,-73.898043,0.0
1662,200862,DCC,License,Westcop  Childrens Center For Learning,New Rochelle,10801,New Rochelle,0,0,96,0,0,96,40.91729,-73.790138,57.599999999999994
1663,465010,GFDC,License,"Alvarez, Norma",Bronx,10456,Bronx 8,0,0,0,0,12,12,40.824885,-73.903834,0.0
